男性が子供を抱き上げて立っています。	坊主頭の男性が子供を抱いて立っています。
皿の上に食べ残しのピザが載っています。	テーブルの上にお皿に乗せたピザが置かれています。
スーツを着た白髪の男性が下を向いています。	背広にネクタイ姿の白髪の男性がうつむいています。
皿にはパスタや人参が盛られています。	お皿にパスタとニンジンなどがのっています。
オーブンレンジの中の料理に手をかけています。	人物が、オーブンのなかの料理に手をかけています。
一羽の白い鳥が水面の上を飛んでいます。	白い鳥が水面すれすれのところを飛んでいます。
浴室と洗面所の色が茶色で統一されています。	洗面所付きの茶色を基調としたバスルームです。
ベッドルームの電気が点いています。	寝室内が明かりで照らされています。
ウェットスーツを着た人がサーフィンをしています。	男性が海上でサーフィンをしている。
テレビに向かってテレビゲームをしている若い男性がいます。	男性がコントローラーを手にゲームをプレイしています。
雪山の斜面をスキーヤーが滑っています。	雪山の斜面をスキーヤーが滑ってきます。
